book_id,category_id,rating_id,date_id,price,availability
1,1,1,1,13.12,5
2,2,2,1,19.09,16
3,2,3,1,23.89,16
4,2,4,1,40.76,16
5,2,4,1,14.07,16
6,2,1,1,53.9,16
7,2,4,1,29.06,15
8,2,5,1,28.26,15
9,2,5,1,25.91,14
10,2,5,1,37.4,14
11,2,1,1,40.67,14
12,2,2,1,48.78,14
13,2,1,1,37.61,14
14,2,3,1,22.13,14
15,2,3,1,20.29,14
16,2,1,1,34.2,14
17,2,1,1,56.48,14
18,2,1,1,40.79,14
19,2,2,1,55.51,14
20,2,3,1,37.86,13
21,2,2,1,26.2,12
22,2,3,1,59.15,12
23,2,4,1,11.88,12
24,2,3,1,15.71,12
25,2,5,1,48.27,9
26,2,3,1,58.05,9
27,2,4,1,50.49,9
28,2,1,1,35.79,9
29,2,2,1,16.24,7
30,2,4,1,35.67,7
31,2,5,1,20.12,7
32,2,3,1,57.43,7
33,2,5,1,37.05,7
34,2,3,1,43.27,6
35,2,2,1,18.77,6
36,2,4,1,46.85,6
37,2,3,1,19.27,6
38,2,4,1,48.51,6
39,2,3,1,56.59,6
40,2,1,1,30.57,5
41,2,2,1,22.37,5
42,2,2,1,42.27,5
43,2,1,1,46.42,5
44,2,4,1,10.79,5
45,2,1,1,10.02,3
46,2,2,1,34.77,3
47,2,4,1,37.19,3
48,2,4,1,47.8,3
49,2,2,1,57.48,3
50,2,3,1,22.13,3
51,2,5,1,41.32,3
52,2,2,1,24.55,3
53,2,2,1,47.84,3
54,2,5,1,53.71,3
55,2,1,1,52.33,3
56,2,2,1,46.29,3
57,2,4,1,50.11,3
58,2,1,1,34.98,3
59,2,3,1,21.28,3
60,2,1,1,36.17,3
61,2,2,1,50.96,3
62,2,4,1,31.38,2
63,2,4,1,33.78,1
64,2,4,1,29.64,1
65,2,2,1,54.43,1
66,2,2,1,16.16,1
67,2,4,1,14.76,1
68,2,4,1,24.89,1
69,3,5,1,15.36,3
70,4,1,1,45.17,19
71,4,3,1,49.43,15
72,4,4,1,48.87,14
73,4,1,1,36.94,8
74,4,4,1,37.33,7
75,4,1,1,44.34,7
76,4,2,1,30.54,6
77,4,3,1,56.88,6
78,4,2,1,23.21,3
79,4,4,1,38.95,3
80,4,5,1,26.08,1
81,5,3,1,47.82,20
82,5,2,1,19.63,18
83,5,3,1,56.5,16
84,5,2,1,16.64,16
85,5,3,1,44.1,15
86,5,1,1,54.21,14
87,5,2,1,13.92,14
88,5,2,1,10.69,14
89,5,5,1,48.35,14
90,5,1,1,16.73,14
91,5,4,1,26.8,12
92,5,3,1,54.36,12
93,5,4,1,35.28,12
94,5,2,1,11.84,12
95,5,4,1,59.48,12
96,5,1,1,27.26,11
97,5,4,1,13.71,11
98,5,5,1,25.37,7
99,5,5,1,52.3,7
100,5,3,1,20.89,7
101,5,3,1,24.8,6
102,5,1,1,38.38,6
103,5,5,1,23.05,3
104,5,4,1,43.45,3
105,5,2,1,19.21,3
106,5,4,1,25.4,3
107,5,1,1,24.72,3
108,5,3,1,57.7,1
109,5,5,1,12.29,1
110,5,4,1,15.85,1
111,5,4,1,20.3,1
112,5,2,1,53.98,1
113,6,2,1,53.74,20
114,6,4,1,29.69,16
115,6,5,1,55.53,16
116,6,2,1,36.95,15
117,6,5,1,30.25,15
118,6,3,1,28.08,14
119,6,4,1,45.84,14
120,6,1,1,20.55,12
121,6,3,1,39.01,12
122,6,1,1,17.28,11
123,6,4,1,16.62,7
124,6,2,1,37.34,6
125,6,3,1,32.97,5
126,6,5,1,28.32,4
127,6,2,1,26.77,4
128,6,5,1,21.07,3
129,6,5,1,35.66,3
130,6,1,1,55.55,3
131,6,2,1,49.53,3
132,6,1,1,46.83,3
133,6,5,1,20.79,3
134,6,5,1,41.32,1
135,6,4,1,34.56,1
136,6,4,1,25.83,1
137,6,3,1,27.7,1
138,6,5,1,16.97,1
139,7,5,1,52.29,19
140,7,2,1,16.28,16
141,7,3,1,19.49,16
142,7,3,1,38.16,16
143,7,1,1,51.04,16
144,7,4,1,50.4,16
145,7,5,1,13.61,16
146,7,2,1,18.97,16
147,7,4,1,10.16,16
148,7,3,1,15.44,16
149,7,2,1,48.41,16
150,7,1,1,46.91,16
151,7,4,1,45.61,16
152,7,1,1,19.92,16
153,7,1,1,29.17,16
154,7,4,1,54.63,16
155,7,1,1,22.11,16
156,7,3,1,51.99,16
157,7,3,1,36.72,16
158,7,3,1,17.08,16
159,7,1,1,37.92,16
160,7,2,1,33.14,15
161,7,3,1,41.62,15
162,7,1,1,36.5,15
163,7,5,1,15.38,15
164,7,3,1,37.34,14
165,7,2,1,53.9,14
166,7,1,1,25.38,14
167,7,5,1,11.89,14
168,7,3,1,35.43,14
169,7,4,1,47.82,14
170,7,1,1,25.48,14
171,7,1,1,38.39,14
172,7,1,1,51.51,14
173,7,5,1,57.62,14
174,7,1,1,32.01,14
175,7,4,1,48.8,14
176,7,1,1,10.9,14
177,7,3,1,33.95,9
178,7,5,1,14.1,8
179,7,2,1,19.57,7
180,7,3,1,20.96,6
181,7,4,1,36.39,6
182,7,2,1,16.33,5
183,7,2,1,52.41,5
184,7,1,1,27.88,4
185,7,3,1,50.44,4
186,7,4,1,14.41,3
187,7,5,1,55.55,3
188,7,5,1,21.57,3
189,7,4,1,43.63,3
190,7,2,1,39.13,3
191,7,4,1,31.45,3
192,7,2,1,42.72,3
193,7,1,1,45.17,3
194,7,2,1,49.31,3
195,7,1,1,38.02,3
196,7,2,1,54.81,2
197,7,4,1,11.75,2
198,7,5,1,11.64,2
199,7,3,1,18.51,1
200,7,1,1,36.52,1
201,7,4,1,54.12,1
202,7,4,1,10.64,1
203,7,4,1,42.12,1
204,7,2,1,28.48,1
205,7,5,1,46.96,1
206,7,3,1,21.71,1
207,7,4,1,29.87,1
208,7,3,1,39.39,1
209,7,4,1,45.24,1
210,7,3,1,56.76,1
211,7,5,1,40.28,1
212,7,5,1,34.65,1
213,7,3,1,57.06,1
214,8,3,1,15.08,5
215,8,2,1,28.58,5
216,8,1,1,50.26,4
217,8,1,1,14.82,4
218,8,3,1,28.07,4
219,8,4,1,32.49,4
220,8,4,1,58.63,4
221,8,4,1,57.22,4
222,8,4,1,17.73,3
223,8,1,1,29.7,3
224,8,3,1,26.78,3
225,8,1,1,38.35,3
226,8,1,1,35.01,3
227,8,3,1,43.19,1
228,8,1,1,45.42,1
229,8,2,1,37.46,1
230,8,1,1,47.11,1
231,8,1,1,32.93,1
232,8,2,1,55.53,1
233,9,5,1,15.94,18
234,9,3,1,58.11,16
235,9,3,1,17.44,15
236,9,2,1,54.21,8
